Date,Open,High,Low,Close,Volume
1992-01-02,28.68911224,28.82254997,27.75504812,28.15536131,216841
1992-01-03,28.15536131,28.9559877,27.62161039,28.9559877,486267
1992-01-06,29.22286316,31.22442913,29.08942543,31.0909914,951263
1992-01-07,31.35786687,31.62474233,30.15692728,30.15692728,675574
1992-01-08,29.75661409,30.29036501,29.3563009,29.48973863,464556
1992-01-09,29.3563009,30.95755367,29.3563009,30.82411594,558618
1992-01-10,31.0909914,31.4913046,29.62317636,30.02348955,659453
1992-01-13,29.89005182,30.42380275,29.3563009,29.48973863,230514
1992-01-14,29.62317636,30.29036501,29.08942543,30.02348955,348633
1992-01-15,30.02348955,30.29036501,29.75661409,29.89005182,193667
1992-01-16,30.02348955,30.29036501,29.3563009,30.15692728,382604
1992-01-17,30.42380275,30.82411594,29.62317636,29.62317636,574523
1992-01-20,29.62317636,30.15692728,29.3563009,29.48973863,206194
1992-01-21,29.48973863,30.02348955,29.22286316,29.3563009,258737
1992-01-22,29.48973863,29.48973863,28.9559877,29.08942543,203920
1992-01-23,29.08942543,29.08942543,27.88848585,28.02192358,689276
1992-01-24,28.02192358,28.55567451,27.88848585,28.02192358,178686
1992-01-27,28.02192358,28.55567451,27.75504812,27.88848585,269238
1992-01-28,28.02192358,28.42223678,27.48817266,27.48817266,106879
1992-01-29,27.62161039,27.75504812,26.95442173,26.95442173,154633
1992-01-30,27.08785946,27.22129719,26.68754627,26.68754627,101868
1992-01-31,26.820984,27.62161039,26.68754627,27.35473493,97442
1992-02-03,27.62161039,28.15536131,27.62161039,28.15536131,74595
1992-02-04,28.28879904,28.55567451,28.02192358,28.02192358,84675
1992-02-05,27.62161039,28.28879904,27.62161039,28.02192358,38893
1992-02-06,28.02192358,28.28879904,27.75504812,28.02192358,74122
1992-02-07,28.02192358,28.28879904,27.35473493,27.62161039,113340
1992-02-10,27.75504812,28.02192358,27.75504812,28.02192358,80923
1992-02-11,28.15536131,29.08942543,27.88848585,28.42223678,210777
1992-02-12,28.9559877,30.82411594,28.82254997,30.55724048,589451
1992-02-13,31.35786687,31.89161779,29.3563009,30.02348955,1267042
1992-02-14,30.02348955,30.29893441,29.19715498,29.88576712,202392
1992-02-17,29.88576712,31.26299141,29.88576712,30.84982413,435010
1992-02-19,31.12526899,31.40071384,30.29893441,30.57437927,366792
1992-02-20,30.84982413,31.81388113,30.43665684,30.84982413,449295
1992-02-21,31.26299141,31.40071384,30.7121017,31.26299141,411671
1992-02-24,31.95160356,34.29288486,31.95160356,34.29288486,1000088
1992-02-25,37.04733344,37.18505587,35.80783158,35.80783158,2123982
1992-02-26,35.53238672,36.90961101,34.43060728,34.70605214,961322
1992-02-27,34.01744,34.70605214,33.05338299,33.32882785,705600
1992-02-28,34.43060728,35.53238672,32.50249328,32.91566056,834018
1992-03-02,32.64021571,32.77793813,30.7121017,30.84982413,259976
1992-03-03,30.84982413,32.22704842,30.7121017,32.08932599,264609
1992-03-04,32.08932599,32.36477085,31.81388113,32.08932599,145138
1992-03-05,32.08932599,33.05338299,31.81388113,33.05338299,224826
1992-03-06,33.32882785,34.29288486,33.32882785,34.01744,612972
1992-03-09,34.15516243,34.56832971,33.60427271,33.60427271,352718
1992-03-10,33.32882785,34.01744,32.91566056,33.87971757,147656
1992-03-11,34.01744,35.53238672,34.01744,35.39466429,627769
1992-03-12,35.53238672,36.35872129,35.11921943,35.39466429,1027660
1992-03-13,35.53238672,35.80783158,35.11921943,35.11921943,336818
1992-03-16,35.11921943,35.11921943,34.29288486,34.29288486,275705
1992-03-17,34.15516243,34.70605214,33.87971757,34.56832971,174899
1992-03-18,34.56832971,35.80783158,34.56832971,35.80783158,323787
1992-03-19,35.94555401,36.22099886,35.25694186,35.53238672,376278
1992-03-20,35.53238672,35.80783158,35.25694186,35.39466429,301156
1992-03-23,35.53238672,35.80783158,35.39466429,35.80783158,263513
1992-03-24,35.80783158,36.08327643,35.25694186,35.39466429,433620
1992-03-25,35.67010915,35.67010915,35.39466429,35.53238672,179010
1992-03-26,35.25694186,35.53238672,34.70605214,35.11921943,247818
1992-03-27,35.25694186,35.39466429,35.11921943,35.11921943,153614
1992-03-30,35.11921943,35.25694186,34.981497,35.11921943,86820
1992-03-31,35.11921943,35.25694186,34.981497,35.11921943,105362
1992-04-01,35.11921943,35.25694186,34.981497,35.11921943,93408
1992-04-02,35.11921943,35.80783158,34.981497,35.39466429,179234
1992-04-03,35.25694186,35.80783158,35.25694186,35.67010915,148265
1992-04-07,35.67010915,36.08327643,35.53238672,35.67010915,207229
1992-04-08,35.80783158,35.94555401,35.11921943,35.39466429,142684
1992-04-09,35.39466429,35.39466429,34.56832971,34.84377457,237390
1992-04-10,35.11921943,35.11921943,34.29288486,34.84377457,144043
1992-04-15,35.25694186,35.53238672,34.84377457,34.84377457,131260
1992-04-16,35.11921943,35.11921943,34.70605214,34.981497,64464
1992-04-17,34.84377457,35.39466429,34.84377457,35.25694186,95212
1992-04-20,34.981497,34.981497,34.56832971,34.56832971,145418
1992-04-21,34.56832971,34.56832971,33.60427271,33.74199514,250363
1992-04-22,34.01744,34.15516243,33.74199514,34.01744,105532
1992-04-23,34.01744,34.43060728,34.01744,34.29288486,91704
1992-04-24,34.29288486,34.29288486,33.87971757,34.01744,44900
1992-04-27,33.74199514,33.87971757,33.05338299,33.32882785,194060
1992-04-28,33.32882785,33.32882785,32.64021571,32.91566056,69033
1992-04-29,32.91566056,32.91566056,32.08932599,32.22704842,86100
1992-04-30,31.95160356,32.36477085,31.6761587,32.08932599,101924
1992-05-04,31.81388113,32.64021571,31.81388113,32.64021571,36634
1992-05-06,30.98754656,31.6761587,30.29893441,31.26299141,182457
1992-05-07,31.26299141,32.50249328,30.29893441,31.53843627,205030
1992-05-08,31.26299141,32.64021571,30.98754656,32.36477085,115450
1992-05-11,33.60427271,34.15516243,33.19110542,33.87971757,197497
1992-05-12,33.87971757,33.87971757,32.64021571,32.77793813,104300
1992-05-13,31.95160356,32.22704842,31.6761587,31.95160356,119300
1992-05-14,31.53843627,32.08932599,31.26299141,32.08932599,55330
1992-05-15,32.22704842,32.36477085,31.95160356,32.36477085,33343
1992-05-19,29.19715498,29.74804469,29.19715498,29.47259984,427200
1992-05-20,29.61032226,30.98754656,29.61032226,30.57437927,259020
1992-05-21,33.60427271,33.60427271,33.60427271,33.60427271,249343
1992-05-22,33.46655028,33.46655028,32.50249328,32.77793813,288430
1992-05-25,33.60427271,33.74199514,33.05338299,33.60427271,191309
1992-05-26,33.60427271,33.60427271,32.91566056,33.05338299,71440
1992-05-27,33.19110542,33.60427271,32.91566056,33.19110542,120320
1992-05-28,33.19110542,33.60427271,32.64021571,33.05338299,104130
1992-05-29,32.50249328,32.50249328,31.6761587,32.08932599,223773
1992-06-01,32.36477085,32.91566056,32.22704842,32.36477085,81175
1992-06-02,31.6761587,32.08932599,31.40071384,31.6761587,103100
1992-06-03,31.40071384,31.95160356,31.40071384,31.81388113,59524
1992-06-04,31.6761587,32.08932599,31.6761587,31.95160356,114755
1992-06-05,32.36477085,32.64021571,32.22704842,32.64021571,201653
1992-06-08,32.36477085,32.50249328,32.08932599,32.36477085,35600
1992-06-09,31.81388113,32.08932599,31.6761587,32.08932599,63680
1992-06-10,31.6761587,31.95160356,31.53843627,31.53843627,112400
1992-06-11,34.56832971,34.56832971,33.19110542,33.60427271,413482
1992-06-12,33.60427271,33.74199514,33.19110542,33.46655028,143230
1992-06-15,33.74199514,33.74199514,33.32882785,33.32882785,72470
1992-06-16,33.32882785,33.46655028,33.32882785,33.32882785,72673
1992-06-17,33.46655028,33.60427271,33.32882785,33.60427271,95126
1992-06-18,33.32882785,34.01744,33.19110542,33.46655028,107581
1992-06-19,33.87971757,33.87971757,33.05338299,33.32882785,51150
1992-06-22,33.32882785,33.32882785,33.05338299,33.05338299,36506
1992-06-23,33.05338299,33.19110542,32.91566056,33.05338299,47922
1992-06-24,32.91566056,33.19110542,32.91566056,33.19110542,55561
1992-06-25,33.19110542,33.60427271,33.19110542,33.32882785,117024
1992-06-26,33.46655028,33.60427271,33.32882785,33.46655028,50322
1992-06-29,33.46655028,33.46655028,33.19110542,33.32882785,64941
1992-06-30,33.32882785,33.32882785,33.19110542,33.19110542,38840
1992-07-02,33.19110542,33.32882785,33.05338299,33.05338299,80459
1992-07-03,33.05338299,33.19110542,33.05338299,33.19110542,31181
1992-07-06,33.19110542,33.19110542,32.77793813,32.91566056,75675
1992-07-07,32.91566056,33.05338299,32.77793813,32.77793813,30755
1992-07-08,32.77793813,32.91566056,32.64021571,32.77793813,18130
1992-07-09,32.91566056,33.19110542,32.77793813,32.91566056,42714
1992-07-10,33.05338299,33.05338299,32.77793813,32.91566056,68915
1992-07-13,32.91566056,33.05338299,32.77793813,32.91566056,18299
1992-07-14,32.91566056,33.05338299,32.77793813,32.91566056,16117
1992-07-16,32.77793813,33.05338299,32.77793813,32.91566056,50100
1992-07-17,33.05338299,33.19110542,32.91566056,33.19110542,53810
1992-07-20,33.46655028,33.74199514,33.32882785,33.46655028,101628
1992-07-21,33.19110542,33.19110542,32.91566056,32.91566056,55637
1992-07-22,33.05338299,33.46655028,33.05338299,33.19110542,43054
1992-07-23,33.19110542,33.19110542,32.91566056,32.91566056,38559
1992-07-24,32.91566056,33.05338299,32.77793813,32.91566056,39910
1992-07-27,32.91566056,32.91566056,32.64021571,32.64021571,46420
1992-07-28,32.64021571,32.77793813,32.64021571,32.77793813,21060
1992-07-29,32.64021571,32.77793813,32.64021571,32.64021571,43810
1992-07-30,32.64021571,33.32882785,32.64021571,33.05338299,75974
1992-07-31,33.32882785,33.46655028,32.91566056,33.05338299,204596
1992-08-03,33.46655028,34.01744,33.46655028,34.01744,195454
1992-08-04,34.01744,34.15516243,33.60427271,33.60427271,61028
1992-08-05,33.87971757,34.70605214,33.74199514,34.70605214,211227
1992-08-06,34.981497,35.80783158,34.981497,35.39466429,399678
1992-08-07,35.53238672,35.53238672,35.11921943,35.25694186,171786
1992-08-10,35.398536,35.68172429,34.97375357,35.398536,117641
1992-08-11,35.398536,35.54013015,35.25694186,35.398536,90778
1992-08-13,35.25694186,35.25694186,35.11534772,35.25694186,47702
1992-08-14,35.25694186,35.25694186,35.11534772,35.25694186,47026
1992-08-17,35.25694186,35.398536,34.83215943,35.25694186,91274
1992-08-18,35.25694186,35.25694186,35.11534772,35.25694186,120135
1992-08-19,35.25694186,35.398536,35.11534772,35.25694186,107796
1992-08-20,35.398536,35.398536,35.11534772,35.398536,77950
1992-08-21,35.398536,35.398536,35.11534772,35.11534772,134950
1992-08-24,35.11534772,35.25694186,35.11534772,35.25694186,56905
1992-08-25,35.11534772,35.25694186,34.97375357,35.25694186,46669
1992-08-26,35.11534772,35.25694186,34.54897114,34.69056528,111015
1992-08-27,34.83215943,34.97375357,34.407377,34.97375357,50800
